# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## SECURITY SKILLS (TOP 800)
healthcheck;steipete/clawdis;healthcheck;Security healthcheck for OpenClaw deployments including hardening, risk assessment, and periodic security checks.
1password;steipete/clawdis;1password;A skill for setting up and using 1Password CLI to manage secrets and authentication.
security-review;affaan-m/everything-claude-code;security-review;Provides a security checklist and patterns for authentication, user input, secrets, API endpoints, and sensitive features.
springboot-security;affaan-m/everything-claude-code;springboot-security;Best practices for Spring Boot security including authentication, authorization, CSRF, and dependency security.
django-security;affaan-m/everything-claude-code;django-security;Django security best practices, authentication, authorization, CSRF protection, SQL injection prevention, XSS prevention, and secure deploym
security-scan;affaan-m/everything-claude-code;security-scan;Scan Claude Code configurations for security vulnerabilities, misconfigurations, and injection risks using AgentShield.
security-requirement-extraction;wshobson/agents;security-requirement-extraction;Extract security requirements from threat models and business context for actionable security measures.
auth-implementation-patterns;wshobson/agents;auth-implementation-patterns;Implement authentication and authorization patterns like JWT, OAuth2, session management, and RBAC for secure API access.
solidity-security;wshobson/agents;solidity-security;Master Solidity smart contract security best practices for auditing, vulnerability prevention, and secure blockchain implementation.
k8s-security-policies;wshobson/agents;k8s-security-policies;Implements Kubernetes security policies like NetworkPolicy, PodSecurityPolicy, and RBAC for cluster security and network isolation.
gdpr-data-handling;wshobson/agents;gdpr-data-handling;Implements GDPR-compliant data handling with consent management and privacy by design for systems processing EU personal data.
protocol-reverse-engineering;wshobson/agents;protocol-reverse-engineering;Master network protocol reverse engineering, packet analysis, dissection, and documentation for traffic analysis and debugging.
memory-forensics;wshobson/agents;memory-forensics;Master memory forensics using Volatility for memory acquisition, process analysis, and artifact extraction from RAM dumps during incidents.
threat-mitigation-mapping;wshobson/agents;threat-mitigation-mapping;Maps identified threats to security controls and mitigations for prioritizing investments and validating effectiveness.
sast-configuration;wshobson/agents;sast-configuration;Configure SAST tools for automated vulnerability detection in code. Supports DevSecOps and security scanning setup.
anti-reversing-techniques;wshobson/agents;anti-reversing-techniques;Understand anti-reversing, obfuscation, and protection techniques for analyzing protected binaries and authorized anti-debugging bypass.
