# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## AI-LLM SKILLS (TOP 800)
find-skills;vercel-labs/skills;main/skills/find-skills;Helps users discover and install agent skills based on their queries.
clawhub;steipete/clawdis;clawhub;CLI tool for managing agent skills from clawhub.com - search, install, update, and publish skills
openai-whisper;steipete/clawdis;openai-whisper;Local speech-to-text conversion using OpenAI's Whisper CLI without requiring an API key.
model-usage;steipete/clawdis;model-usage;Summarizes per-model usage and costs from CodexBar CLI for Codex or Claude models, providing current or full model breakdowns.
sherpa-onnx-tts;steipete/clawdis;sherpa-onnx-tts;Local text-to-speech via sherpa-onnx (offline, no cloud)
openai-whisper-api;steipete/clawdis;openai-whisper-api;Transcribe audio using OpenAI's Whisper API for converting speech to text.
nano-banana-pro;steipete/clawdis;nano-banana-pro;Generate or edit images via Gemini 3 Pro Image (Nano Banana Pro)
voice-call;steipete/clawdis;voice-call;Start voice calls via the OpenClaw voice-call plugin for AI-powered communication.
openai-image-gen;steipete/clawdis;openai-image-gen;Batch-generate images via OpenAI Images API with random prompt sampling and HTML gallery output.
sag;steipete/clawdis;sag;ElevenLabs text-to-speech with mac-style say UX.
gemini;steipete/clawdis;gemini;Gemini CLI for one-shot Q&A, summaries, and generation.
skill-creator;steipete/clawdis;skill-creator;Create or update AgentSkills for designing, structuring, or packaging skills with scripts, references, and assets.
skill-lookup;f/awesome-chatgpt-prompts;skill-lookup;Search, retrieve, and install Agent Skills from the prompts.chat registry via MCP. Extends Claude's capabilities with reusable AI components
prompt-lookup;f/awesome-chatgpt-prompts;prompt-lookup;A skill for discovering, retrieving, and improving AI prompts.
skill-lookup;f/prompts.chat;skill-lookup;Search, retrieve, and install Agent Skills from the prompts.chat registry via MCP. Extends Claude's capabilities with reusable AI components
book-translation;f/prompts.chat;book-translation;Translate interactive book content and UI strings to new languages.
prompt-lookup;f/prompts.chat;prompt-lookup;A skill for discovering, retrieving, and improving AI prompts.
book-translation;f/awesome-chatgpt-prompts;book-translation;Translate interactive book content and UI strings to new languages.
skill-creator;langgenius/dify;;A skill for creating new skills or templates.
skill-creator;anthropics/skills;main/skills/skill-creator;A guide for creating effective AI skills that extend Claude's capabilities with specialized knowledge, workflows, or tool integrations.
browser-use;browser-use/browser-use;browser-use;Automates browser interactions for web testing, form filling, screenshots, and data extraction.
code-reviewer;google-gemini/gemini-cli;code-reviewer;A skill for reviewing code, supporting local changes and remote pull requests with focus on correctness and maintainability.
skill-writer;pytorch/pytorch;skill-writer;A skill for guiding users in creating Agent Skills for Claude Code, including SKILL.md files and skill structure.
add-uint-support;pytorch/pytorch;add-uint-support;Add unsigned integer support to PyTorch operators using AT_DISPATCH macros.
pirate-skill;google-gemini/gemini-cli;pirate-skill;Transforms AI text output into pirate-style speech for role-playing and entertainment purposes.
docx;anthropics/skills;main/skills/docx;A skill for creating, reading, editing, and manipulating Word documents (.docx files) with formatting support.
mcp-builder;anthropics/skills;main/skills/mcp-builder;A guide for building high-quality MCP servers to enable LLMs to interact with external services via well-designed tools.
doc-coauthoring;anthropics/skills;main/skills/doc-coauthoring;A skill for guiding users through structured documentation co-authoring workflows.
template-skill;anthropics/skills;main/template;A template skill for generating descriptions and usage guidance for AI assistants.
slack-gif-creator;anthropics/skills;main/skills/slack-gif-creator;Create animated GIFs optimized for Slack with validation tools and animation concepts.
brainstorming;obra/superpowers;brainstorming;A skill for brainstorming and exploring user intent before implementing creative work.
skill-development;anthropics/claude-code;skill-development;A skill for creating, improving, and organizing Claude Code plugin skills with best practices.
agent-development;anthropics/claude-code;agent-development;A skill for developing autonomous agents with guidance on structure, prompts, and best practices for Claude Code plugins.
mcp-integration;anthropics/claude-code;mcp-integration;Integrates Model Context Protocol (MCP) servers into Claude Code plugins for external tool and service connectivity.
hook-development;anthropics/claude-code;hook-development;A skill for creating and implementing Claude Code plugin hooks, focusing on advanced prompt-based APIs.
command-development;anthropics/claude-code;command-development;A skill for developing slash commands with Claude Code, covering structure, arguments, and execution patterns.
plugin-structure;anthropics/claude-code;plugin-structure;A skill for creating and understanding plugin structures, including directory layout, manifest configuration, and component organization for
plugin-settings;anthropics/claude-code;plugin-settings;A skill for managing plugin settings using .local.md files with YAML frontmatter.
claude-opus-4-5-migration;anthropics/claude-code;claude-opus-4-5-migration;Migrate prompts and code from older Claude models to Opus 4.5, handling model string updates and prompt adjustments.
add-provider-doc;lobehub/lobehub;add-provider-doc;A guide for adding documentation for new AI providers like OpenAI and Anthropic.
linear;lobehub/lobehub;linear;A skill for managing Linear issues including creation, status updates, and comments.
add-provider-doc;lobehub/lobe-chat;add-provider-doc;A guide for adding documentation for new AI providers like OpenAI and Anthropic.
linear;lobehub/lobe-chat;linear;A skill for managing Linear issues including creation, status updates, and comments.
writing-plans;obra/superpowers;writing-plans;This skill helps create writing plans for multi-step tasks based on specs or requirements.
