# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## OTHER SKILLS (TOP 800)
local-places;steipete/clawdis;;A skill for handling local places and location-based services
modal;lobehub/lobehub;modal;A skill for creating modal dialogs using createModal from @lobehub/ui.
modal;lobehub/lobe-chat;modal;A skill for creating modal dialogs using createModal from @lobehub/ui.
docs-review;metabase/metabase;docs-review;Reviews documentation changes for Metabase writing style compliance.
domain-name-brainstormer;composiohq/awesome-claude-skills;;Generates and checks domain name ideas across multiple TLDs.
quality-documentation-manager;davila7/claude-code-templates;enterprise-communication/quality-documentation-manager;Manages comprehensive documentation control and regulatory document review with change management and compliance verification.
risk-management-specialist;davila7/claude-code-templates;enterprise-communication/risk-management-specialist;A senior risk management specialist for medical device companies implementing ISO 14971 throughout the product lifecycle.
email-systems;davila7/claude-code-templates;business-marketing/email-systems;A skill focused on effective email systems including transactional emails, marketing automation, and deliverability.
quality-manager-qmr;davila7/claude-code-templates;enterprise-communication/quality-manager-qmr;A skill for managing quality systems and regulatory compliance in HealthTech and MedTech companies.
crafting-effective-readmes;davila7/claude-code-templates;productivity/crafting-effective-readmes;Helps create or improve README files with templates and audience-specific guidance.
domain-name-brainstormer;davila7/claude-code-templates;utilities/domain-name-brainstormer;Generates and checks domain name ideas across multiple TLDs.
regulatory-affairs-head;davila7/claude-code-templates;enterprise-communication/regulatory-affairs-head;A senior regulatory affairs manager for HealthTech and MedTech companies, providing strategic guidance and compliance coordination.
pylabrobot;davila7/claude-code-templates;scientific/pylabrobot;A laboratory automation toolkit for controlling various lab equipment and managing workflows.
cc-skill-project-guidelines-example;davila7/claude-code-templates;development/cc-skill-project-guidelines-example;A skill template for creating project guidelines and best practices.
capa-officer;davila7/claude-code-templates;enterprise-communication/capa-officer;A senior CAPA officer skill for managing corrective and preventive actions in quality management systems.
m12-lifecycle;rustfs/rustfs;;A skill for managing the lifecycle of tasks or projects.
m09-domain;rustfs/rustfs;;A skill for domain-related planning and task management.
m01-ownership;rustfs/rustfs;;A skill for managing ownership and responsibilities in a team or project.
m02-resource;rustfs/rustfs;;A skill for managing resources with a focus on tooling and best practices.
m15-anti-pattern;rustfs/rustfs;;A skill for identifying and analyzing anti-patterns in code.
m14-mental-model;rustfs/rustfs;;A skill for applying mental models to improve decision-making and problem-solving.
email-systems;sickn33/antigravity-awesome-skills;email-systems;A skill focused on effective email systems including transactional emails, marketing automation, and deliverability.
cc-skill-project-guidelines-example;sickn33/antigravity-awesome-skills;cc-skill-project-guidelines-example;A skill template for creating project guidelines and best practices.
postmortem-writing;sickn33/antigravity-awesome-skills;postmortem-writing;Write effective blameless postmortems with root cause analysis, timelines, and action items for incident reviews.
employment-contract-templates;sickn33/antigravity-awesome-skills;employment-contract-templates;Generate employment contracts, offer letters, and HR policy documents using legal best practices.
polymarket;2025emma/vibe-coding-cn;polymarket;A skill for analyzing and understanding Polymarket data and trends.
snapdom;2025emma/vibe-coding-cn;snapdom;A skill for DOM manipulation and rendering in web applications.
compound-docs;everyinc/compound-engineering-plugin;compound-docs;Capture solved problems as categorized documentation with YAML frontmatter for fast lookup.
threads;tambo-ai/tambo;;A skill for managing and creating content on the Threads platform
start-from-scratch;tambo-ai/tambo;;Helps users initiate projects or tasks from the beginning, providing guidance on initial planning, setup, and workflow structure.
atlas;openai/skills;;A tool for managing and orchestrating workflows, focusing on system operations and infrastructure management tasks.
skill-one;everyinc/compound-engineering-plugin;skill-one;A sample skill for demonstration purposes.
privateinvestigator;danielmiessler/personal_ai_infrastructure;PrivateInvestigator;Ethical people-finding skill for locating individuals, reconnection, and skip tracing with proper documentation.
find-skills;openstatushq/openstatus;;A utility skill designed to help users locate and discover other available skills within the ecosystem.
ralplan;yeachan-heo/oh-my-claudecode;ralplan;A command alias for /omc-plan with consensus flag.
pipeline;yeachan-heo/oh-my-claudecode;;Generic skill template for pipeline operations, likely involving workflow automation or sequential processing tasks.
review;yeachan-heo/oh-my-claudecode;;A generic skill template designed to facilitate review processes, assessments, and feedback generation.
ecomode;yeachan-heo/oh-my-claudecode;;Optimization skill for energy systems using ecomode.
help;yeachan-heo/oh-my-claudecode;;Provides help and support functionality for users seeking assistance with various tasks and operations.
iso-13485-certification;k-dense-ai/claude-scientific-skills;;A toolkit for preparing ISO 13485 certification documentation for medical device QMS, including gap analysis, quality manuals, and regulator
technical-writing;supercent-io/skills-template;;Create clear and comprehensive technical documentation including specs, architecture docs, and API docs.
user-guide-writing;supercent-io/skills-template;;Create clear and helpful user guides and tutorials for end users.
honesty;epicenterhq/epicenter;honesty;Behavioral guideline for providing brutally honest feedback in code review and technical discussions.
email-best-practices;resend/email-best-practices;;Best practices for email features, spam prevention, authentication, and compliance.
quality-documentation-manager;alirezarezvani/claude-skills;;Manages document control systems for medical device QMS, ensuring 21 CFR Part 11 compliance and version control.
risk-management-specialist;alirezarezvani/claude-skills;;A specialist in medical device risk management following ISO 14971 standards.
quality-manager-qms-iso13485;alirezarezvani/claude-skills;;A skill for implementing and maintaining an ISO 13485 Quality Management System tailored for medical device organizations.
capa-officer;alirezarezvani/claude-skills;;Manage CAPA systems for medical device QMS with root cause analysis and corrective actions.
quality-manager-qmr;alirezarezvani/claude-skills;;A senior quality manager responsible for healthtech and medtech companies, ensuring ISO 13485 compliance and quality system governance.
domain-name-brainstormer;softaworks/agent-toolkit;domain-name-brainstormer;Generates and checks domain name ideas across multiple TLDs.
crafting-effective-readmes;softaworks/agent-toolkit;crafting-effective-readmes;Helps create or improve README files with templates and audience-specific guidance.
zapper;bankrbot/openclaw-skills;;Placeholder for Zapper skill.
base;bankrbot/openclaw-skills;;Placeholder for Base skill template.
projects;railwayapp/railway-skills;;Manage projects including listing, switching, renaming, enabling/disabling PR deploys, and modifying settings.
ui-skills;ibelick/ui-skills;;A skill for creating and managing UI components and frontend interfaces.
domain-fintech;zhanghandong/rust-skills;domain-fintech;A skill template for building fintech applications with focus on financial operations and transactions.
domain-name-brainstormer;skillcreatorai/ai-agent-skills;domain-name-brainstormer;Generates and checks domain name ideas across multiple TLDs.
skill-review;jezweb/claude-skills;;A skill template focused on review and assessment tasks.
skill-name;resciencelab/opc-skills;;Template for creating clear skill descriptions with trigger keywords and usage contexts.
videocut:å‰ªå£æ’­;ceeon/videocut-skills;;A skill for video cutting and audio editing.
videocut:å­—å¹•;ceeon/videocut-skills;;A skill for video and audio editing tasks.
videocut:å®‰è£…;ceeon/videocut-skills;;A skill for installing video cutting tools.
docs-cleaner;daymade/claude-code-skills;;Cleans and consolidates redundant documentation while preserving valuable content.
find-skills;kimyx0207/findskill;;A utility skill designed to help users locate and discover other available skills within the ecosystem.
mcp-hass;aahl/skills;main/skills/mcp-hass;Control Home Assistant smart home devices and query states using MCP protocol
engineering-culture;refoundai/lenny-skills;engineering-culture;Build strong engineering culture by improving developer experience and technical excellence.
shared;boshu2/agentops;shared;Shared reference documents for distributed mode skills that are not directly invocable.
