# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## PENDING SKILLS (TOP 800)
eightctl;steipete/clawdis;eightctl;Control Eight Sleep pods (status, temperature, alarms, schedules).
accessibility;microsoft/vscode;accessibility;Accessibility guidelines for VS Code features — covers accessibility help dialogs, accessible views, verbosity settings, accessibility signals, ARIA alerts/status announcements, keyboard navigation, and ARIA labels/roles. Applies to both new interactive UI surfaces and updates to existing features. Use when creating new UI or updating existing UI features.
content-design;n8n-io/n8n;content-design;Product content designer for UI copy. Use when writing, reviewing, or auditing user-facing text: button labels, error messages, tooltips, empty states, modal copy, placeholder text, confirmation dialogs, onboarding flows, or i18n strings. Also use when the user says /copy, /content, or /ux-copy.
e2e-studio-tests;supabase/supabase;e2e-studio-tests;Run e2e tests in the Studio app. Use when asked to run e2e tests, run studio tests, playwright tests, or test the feature.
writing-dev-server-tests;oven-sh/bun;writing-dev-server-tests;Guides writing HMR/Dev Server tests in test/bake/. Use when creating or modifying dev server, hot reloading, or bundling tests.
tailwindcss-development;coollabsio/coolify;tailwindcss-development;Styles applications using Tailwind CSS v4 utilities. Activates when adding styles, restyling components, working with gradients, spacing, layout, flex, grid, responsive design, dark mode, colors, typography, or borders, or when the user mentions CSS, styling, classes, Tailwind, restyle, hero section, cards, buttons, or any visual/UI changes.
write-tbp;tldraw/tldraw;write-tbp;Writing technical blog posts about tldraw features and implementation details. Use when creating blog content about how tldraw solves interesting problems.
backport-pr-assistant;cockroachdb/cockroach;backport-pr-assistant;Help backport PRs to release branches using the backport CLI tool. Use when backporting changes that have merge conflicts requiring manual resolution.
implementing-agent-modes;posthog/posthog;implementing-agent-modes;Guidelines to create/update a new mode for PostHog AI agent. Modes are a way to limit what tools, prompts, and prompt injections are applied and under what conditions. Achieve better results using your plan mode.
run-nx-generator;nrwl/nx;run-nx-generator;Run Nx generators with prioritization for workspace-plugin generators. Use this when generating code, scaffolding new features, or automating repetitive tasks in the monorepo.
copilot-cli-quickstart;github/awesome-copilot;copilot-cli-quickstart;Use this skill when someone wants to learn GitHub Copilot CLI from scratch. Offers interactive step-by-step tutorials with separate Developer and Non-Developer tracks, plus on-demand Q&A. Just say "start tutorial" or ask a question! Note: This skill targets GitHub Copilot CLI specifically and uses CLI-specific tools (ask_user, sql, fetch_copilot_cli_documentation).
sponsor-finder;github/awesome-copilot;sponsor-finder;Find which of a GitHub repository's dependencies are sponsorable via GitHub Sponsors. Uses deps.dev API for dependency resolution across npm, PyPI, Cargo, Go, RubyGems, Maven, and NuGet. Checks npm funding metadata, FUNDING.yml files, and web search. Verifies every link. Shows direct and transitive dependencies with OSSF Scorecard health data. Invoke with /sponsor followed by a GitHub owner/repo (e.g. "/sponsor expressjs/express").
verl-rl-training;davila7/claude-code-templates;ai-research/post-training-verl;Provides guidance for training LLMs with reinforcement learning using verl (Volcano Engine RL). Use when implementing RLHF, GRPO, PPO, or other RL algorithms for LLM post-training at scale with flexible infrastructure backends.
pr-draft-summary;openai/openai-agents-python;pr-draft-summary;Create a PR title and draft description after substantive code changes are finished. Trigger when wrapping up a moderate-or-larger change (runtime code, tests, build config, docs with behavior impact) and you need the PR-ready summary block with change summary plus PR draft text.
rust-backend;windmill-labs/windmill;rust-backend;Rust coding guidelines for the Windmill backend. MUST use when writing or modifying Rust code in the backend directory.
vercel-cli;vercel/vercel;vercel-cli;Deploy, manage, and develop projects on Vercel from the command line
v3-swarm-coordination;ruvnet/claude-flow;v3-swarm-coordination;15-agent hierarchical mesh coordination for v3 implementation. Orchestrates parallel execution across security, core, and integration domains following 10 ADRs with 14-week timeline.
v3-security-overhaul;ruvnet/claude-flow;v3-security-overhaul;Complete security architecture overhaul for claude-flow v3. Addresses critical CVEs (CVE-1, CVE-2, CVE-3) and implements secure-by-default patterns. Use for security-first v3 implementation.
v3-deep-integration;ruvnet/claude-flow;;
v3-core-implementation;ruvnet/claude-flow;v3-core-implementation;Core module implementation for claude-flow v3. Implements DDD domains, clean architecture patterns, dependency injection, and modular TypeScript codebase with comprehensive testing.
worker-integration;ruvnet/claude-flow;worker-integration;Worker-Agent integration for intelligent task dispatch and performance tracking
worker-benchmarks;ruvnet/claude-flow;worker-benchmarks;Run comprehensive worker system benchmarks and performance analysis
skill-creator;prowler-cloud/prowler;skill-creator;Creates new AI agent skills following the Agent Skills spec. Trigger: When user asks to create a new skill, add agent instructions, or document patterns for AI.
makepad-skills;sickn33/antigravity-awesome-skills;makepad-skills;Makepad UI development skills for Rust apps: setup, patterns, shaders, packaging, and troubleshooting.
upgrading-expo;sickn33/antigravity-awesome-skills;upgrading-expo;Upgrade Expo SDK versions
fp-ts-pragmatic;sickn33/antigravity-awesome-skills;fp-ts-pragmatic;A practical, jargon-free guide to fp-ts functional programming - the 80/20 approach that gets results without the academic overhead. Use when writing TypeScript with fp-ts library.
fal-audio;sickn33/antigravity-awesome-skills;fal-audio;Text-to-speech and speech-to-text using fal.ai audio models
vexor;sickn33/antigravity-awesome-skills;vexor;Vector-powered CLI for semantic file search with a Claude/Codex skill
varlock-claude-skill;sickn33/antigravity-awesome-skills;varlock-claude-skill;Secure environment variable management ensuring secrets are never exposed in Claude sessions, terminals, logs, or git commits
json-render-react-native;vercel-labs/json-render;json-render-react-native;React Native renderer for json-render that turns JSON specs into native mobile UIs. Use when working with @json-render/react-native, building React Native UIs from JSON, creating mobile component catalogs, or rendering AI-generated specs on mobile.
mcp-apps-builder;mcp-use/mcp-use;mcp-apps-builder;**MANDATORY for ALL MCP server work** - mcp-use framework best practices and patterns.  **READ THIS FIRST** before any MCP server work, including: - Creating new MCP servers - Modifying existing MCP servers (adding/updating tools, resources, prompts, widgets) - Debugging MCP server issues or errors - Reviewing MCP server code for quality, security, or performance - Answering questions about MCP development or mcp-use patterns - Making ANY changes to server.tool(), server.resource(), server.prompt(), or widgets  This skill contains critical architecture decisions, security patterns, and common pitfalls. Always consult the relevant reference files BEFORE implementing MCP features.
document-review;everyinc/compound-engineering-plugin;document-review;This skill should be used to refine brainstorm or plan documents before proceeding to the next workflow step. It applies when a brainstorm or plan document exists and the user wants to improve it.
resolve_pr_parallel;everyinc/compound-engineering-plugin;resolve-pr-parallel;Resolve all PR comments using parallel processing. Use when addressing PR review feedback, resolving review threads, or batch-fixing PR comments.
setup;everyinc/compound-engineering-plugin;setup;Configure which review agents run for your project. Auto-detects stack and writes compound-engineering.local.md.
agents;danielmiessler/personal_ai_infrastructure;Agents;Dynamic agent composition and management system. USE WHEN user says create custom agents, spin up custom agents, specialized agents, OR asks for agent personalities, available traits, agent voices. Handles custom agent creation, personality assignment, voice mapping, and parallel agent orchestration.
redteam;danielmiessler/personal_ai_infrastructure;RedTeam;Adversarial analysis with 32 agents. USE WHEN red team, attack idea, counterarguments, critique, stress test. SkillSearch('redteam') for docs.
prompting;danielmiessler/personal_ai_infrastructure;Prompting;Meta-prompting system for dynamic prompt generation using templates, standards, and patterns. USE WHEN meta-prompting, template generation, prompt optimization, or programmatic prompt composition.
becreative;danielmiessler/personal_ai_infrastructure;BeCreative;Extended thinking mode. USE WHEN be creative, deep thinking, deep thinking, extended reasoning. SkillSearch('becreative') for docs.
fabric;danielmiessler/personal_ai_infrastructure;Fabric;Intelligent prompt pattern system with 240+ specialized patterns for content analysis, extraction, and transformation. USE WHEN user says 'use fabric', 'fabric pattern', 'run fabric', 'update fabric', 'update patterns', 'sync fabric', 'extract wisdom', 'summarize with fabric', 'create threat model', 'analyze with fabric', OR any request to apply Fabric patterns to content.
phoenix-evals;arize-ai/phoenix;phoenix-evals;Build and run evaluators for AI/LLM applications using Phoenix.
meilisearch-admin;civitai/civitai;meilisearch-admin;Check Meilisearch index status, tasks, health, and settings. Use for debugging search issues, monitoring indexing tasks, and inspecting index configuration. Read-only admin operations.
dev-server;civitai/civitai;dev-server;Manage Next.js dev servers across worktrees. Start, stop, and read logs from dev servers. Agents can access logs from any running session, regardless of who started it.
clickhouse-query;civitai/civitai;clickhouse-query;Run ClickHouse queries for analytics, metrics analysis, and event data exploration. Use when you need to query ClickHouse directly, analyze metrics, check event tracking data, or test query performance. Read-only by default.
mod-actions;civitai/civitai;mod-actions;Take moderator actions on users - ban, mute, remove content, manage leaderboard eligibility. Use when you need to ban a user, mute them, or take other moderation actions.
redis-inspect;civitai/civitai;redis-inspect;Inspect Redis cache keys, values, and TTLs for debugging. Supports both main cache and system cache. Use for debugging cache issues, checking cached values, and monitoring cache state. Read-only by default.
whodb;clidey/whodb;whodb;Database operations including querying, schema exploration, and data analysis. Activates for tasks involving PostgreSQL, MySQL, MariaDB, SQLite, MongoDB, Redis, Elasticsearch, or ClickHouse databases.
schema-designer;clidey/whodb;schema-designer;Help design database schemas, create tables, and plan data models. Activates when users ask to create tables, design schemas, or model data relationships.
query-builder;clidey/whodb;query-builder;Convert natural language questions into SQL queries. Activates when users ask data questions in plain English like "show me users who signed up last week" or "find orders over $100".
tanstack-router-migration;redpanda-data/console;tanstack-router-migration;Migrate React applications from React Router to TanStack Router with file-based routing. Use when user requests: (1) Router migration, (2) TanStack Router setup, (3) File-based routing implementation, (4) React Router replacement, (5) Type-safe routing, or mentions 'migrate router', 'tanstack router', 'file-based routes'.
styling;epicenterhq/epicenter;styling;CSS and Tailwind styling guidelines. Use when writing styles, creating UI components, reviewing CSS/Tailwind code, or deciding on wrapper element structure.
social-media;epicenterhq/epicenter;social-media;Social media post guidelines for LinkedIn, Reddit, and Twitter/X. Use when drafting posts, announcements, or sharing technical content on social platforms.
control-flow;epicenterhq/epicenter;control-flow;Human-readable control flow patterns for refactoring complex conditionals. Use when refactoring nested conditionals, improving code readability, or restructuring decision logic.
stripe-best-practices;exceptionless/exceptionless;stripe-best-practices;Best practices for building a Stripe integrations
releasenotes;exceptionless/exceptionless;releasenotes;Generate formatted changelogs from git history since the last release tag. Use when preparing release notes that categorize changes into breaking changes, features, fixes, and other sections.
server-actions;davepoon/buildwithclaude;server-actions;This skill should be used when the user asks about "Server Actions", "form handling in Next.js", "mutations", "useFormState", "useFormStatus", "revalidatePath", "revalidateTag", or needs guidance on data mutations and form submissions in Next.js App Router.
route-handlers;davepoon/buildwithclaude;route-handlers;This skill should be used when the user asks to "create an API route", "add an endpoint", "build a REST API", "handle POST requests", "create route handlers", "stream responses", or needs guidance on Next.js API development in the App Router.
server-components;davepoon/buildwithclaude;server-components;This skill should be used when the user asks about "Server Components", "Client Components", "'use client' directive", "when to use server vs client", "RSC patterns", "component composition", "data fetching in components", or needs guidance on React Server Components architecture in Next.js.
agentation-self-driving;benjitaylor/agentation;agentation-self-driving;Autonomous design critique mode using the Agentation annotation toolbar. Use when the user asks to "critique this page," "add design annotations," "review the UI," "self-driving mode," "auto-annotate," or wants an AI agent to autonomously add design feedback annotations to a web page via the browser. Requires the Agentation toolbar to be installed on the target page and agent-browser skill to be available.
worktrunk;max-sixty/worktrunk;worktrunk;Guidance for Worktrunk, a CLI tool for managing git worktrees. Covers configuration (user config at ~/.config/worktrunk/config.toml and project hooks at .config/wt.toml), usage, and troubleshooting. Use for "setting up commit message generation", "configuring hooks", "automating tasks", or general worktrunk questions.
react-doctor;millionco/react-doctor;react-doctor;Diagnose and fix React codebase health issues. Use when reviewing React code, fixing performance problems, auditing security, or improving code quality.
confluence-expert;alirezarezvani/claude-skills;;Atlassian Confluence expert for creating and managing spaces, knowledge bases, documentation, planning, product discovery, page layouts, macros, templates, and all Confluence features. Use for documentation strategy, space architecture, content organization, and collaborative knowledge management.
atlassian-templates;alirezarezvani/claude-skills;;Atlassian Template and Files Creator/Modifier expert for creating, modifying, and managing Jira and Confluence templates, blueprints, custom layouts, reusable components, and standardized content structures. Use for building org-wide templates, custom blueprints, page layouts, and automated content generation.
